key_lotr,key_ft,card_name,text_clean,text_combined,book,chapter,row,tier
20311,43,"Boseiju, Who Shelters All","Grey ruins falling into darkness, even with sunlight still shining in the sky."," sunlight was still shining in the sky, but long shadows reached over isengard: grey ruins falling into darkness.",tt,10,786,all
20311,60,"Boseiju, Who Shelters All","Grey ruins falling into darkness, even with sunlight still shining in the sky"," sunlight was still shining in the sky, but long shadows reached over isengard: grey ruins falling into darkness.",tt,10,786,all
20749,160,Vanquisher's Banner,"Seven stars and seven stones and one white tree.
", seven stars and seven stones and one white tree.,tt,11,130,all
20760,164,Worn Powerstone,"The palantíri of the Kings of Old: the name meant ‘that which looks far away.’ The Orthanc-stone was one, and it is beyond Saruman’s art.
", ‘the name meant that which looks far away.,tt,11,146,all
20768,152,Commander's Sphere,"The Ñoldor, perhaps Fëanor himself, wrought the palantíri in days so long ago that the time cannot be measured in years.
"," feanor himself, maybe, wrought them, in days so long ago that the time cannot be measured in years.",tt,11,156,all
21680,211,Underground River,"But stream and pool is wet and cool: so nice for feet! We only wish to catch a fish, so juicy-sweet!
", but stream and pool is wet and cool: so nice for feet!,tt,13,54,all
21929,201,Smoldering Marsh,"Before the shadows of evening were long in happier lands, they went on again with only brief halts until they had come to the very midst of the Dead Marshes."," before the shadows of evening were long in happier lands, they went on again, always on and on with only brief halts.",tt,13,449,all
21993,57,"Urborg, Tomb of Yawgmoth","All dead, all rotten. Elves and Men and Orcs. There was a great battle here long ago, yes.
"," ‘all dead, all rotten.",tt,13,534,all
22116,203,Sulfurous Springs,"A land defiled, diseased beyond all healing"," they had come to the desolation that lay before mordor: the lasting monument to the dark labour of its slaves that should endure when all their purposes were made void; a land defiled, diseased beyond all healing - unless the great sea should enter in and wash it with oblivion.",tt,13,768,all
22486,150,Basalt Monolith,"When it turns round the black rock, you’ll see it. Suddenly you’ll see it above you, and you’ll want to hide.
"," when it turns round the black rock, youll see it, suddenly youll see it above you, and youll want to hide.",tt,14,354,all
22795,143,Growth Spiral,The swift growth of the wild with briar and eglantine and trailing clematis was already drawing a veil over this place., the swift growth of the wild with briar and eglantine and trailing clematis was already drawing a veil over this place of dreadful feast and slaughter; but it was not ancient.,tt,15,215,all
22955,145,Mortify,Soon the rabbits were cut up and lying simmering in their pans with the bunched herbs., soon the rabbits cut up lay simmering in their pans with the bunched herbs.,tt,15,462,all
23059,140,Wood Elves,"Elves are wondrous fair to look upon, or so ‘tis said.
"," and elves are wondrous fair to look upon, or sotis said.",tt,15,614,all
23628,55,Reflecting Pool,"This is the Window of the Sunset, fairest of all the falls of Ithilien, land of many fountains.
"," ‘this is the window of the sunset, henneth annun, fairest of all the falls of ithilien, land of many fountains.",tt,16,764,all
24477,61,Banishing Light,Before all went Aragorn with the Flame of the West, ‘go with the good will of all good men!,tt,18,105,all
24544,181,Foreboding Ruins,"The road appeared lonely and forsaken, running down to empty ruins in the mist. But there was an evil feeling in the air."," it appeared lonely and forsaken, run- ning down to empty ruins in the mist.",tt,18,223,all
24724,154,Mind Stone,"The years had gnawed at it, and violent hands had maimed it. Its head was gone, and in its place was set in mockery a round rough-hewn stone, rudely painted in the likeness of a grinning face with one large eye in the midst of its forehead."," its head was gone, and in its place was set in mockery a round rough-hewn stone, rudely painted by savage hands in the likeness of a grinning face with one large red eye in the midst of its forehead.",tt,18,559,all
24768,170,Choked Estuary,"The water of the Morgulduin was silent and steaming, but the twisting vapor that rose from it was deadly cold."," the water flowing beneath was silent, and it steamed, but the vapour that rose from it, curling and twisting about the bridge, was deadly cold.",tt,19,75,all
24878,62,Bastion Protector,"Who can now hold the fords when the King of the Nine Riders comes?
", and who can now hold the fords when the king of the nine riders comes?,tt,19,285,all
25502,34,Relic of Sauron,"While the power of Sauron grew, light and living things forsook his borders."," but that desire was yet far away, and long now had she been hungry, lurking in her den, while the power of sauron grew, and light and living things forsook his borders; and the city in the valley was dead, and no elf or man came near, only the unhappy ores.",tt,20,473,all
26228,13,Call for Aid,"We must hasten. The beacons of Gondor are alight. War is kindled.
", we must hasten.,rk,1,44,all
26317,51,"Minamo, School at Water's Edge","Beyond, in the great fief of Belfalas, dwelt Prince Imrahil in his castle of Dol Amroth by the sea."," but beyond, in the great fief of b elf alas, dwelt prince imrahil in his castle of dol amroth by the sea, and he was of high blood, and his folk also, tall men and proud with sea-grey eyes.",rk,1,205,all
26403,208,Throne of the High City,"The high throne was empty. At the foot of its dais, upon the lowest step which was broad and deep, there was a stone chair, black and unadorned, for the Steward of Gondor."," at the foot of the dais, upon the lowest step which was broad and deep, there was a stone chair, black and unadorned, and on it sat an old man gazing at his lap.",rk,1,393,all
26733,50,Kor Haven,"The chief city of the Kings of Men was Osgiliath, Citadel of the Stars. Now it is deserted, and in its ruins shadows walk."," it was a city, said beregond,the chief city of gondor, of which this was only a fortress.",rk,1,939,all
27441,109,Harsh Mentor,"A time may come soon when there will be need of valor without renown. Yet the deeds will not be less valiant because they are unpraised.
", yet the deeds will not be less valiant because they are unpraised.,rk,2,650,all
27483,185,Ghost Quarter,"The light was grey, for the sun had not yet climbed over the black ridges of the Haunted Mountain before them."," the light was still grey as they rode, for the sun had not yet climbed over the black ridges of the haunted mountain before them.",rk,2,727,all
27637,167,Battlefield Forge,"In the morning, I shall ride to Edoras to the gathering of the Mark.
"," last night the moon was full, and in the morning i shall ride to edoras to the gathering of the mark.",rk,3,83,all
27697,192,Path of Ancestry,"Merry gazed at the Púkel-men with wonder and pity, as they loomed up mournfully in the dusk."," the p®kel-men they called them, and heeded them little: no power or terror was left in them; but merry gazed at them with wonder and a feeling almost of pity, as they loomed up mournfully in the dusk.",rk,3,186,all
27909,175,Dragonskull Summit,"Now the great cloud hangs over all the land between here and the Mountains of Shadow; and it is deepening. War has already begun.
", now the great cloud hangs over all the land between here and the mountains of shadow; and it is deepening.,rk,3,549,all
28649,114,Siege-Gang Commander,They began to throw missiles that passed right above the battlement and fell thudding within the first circle of the City.," as soon as the great catapults were set, with many yells and the creaking of rope and winch, they began to throw missiles marvellously high, so that they passed right above the battlement and fell thudding within the first circle of the city; and many of them by some secret art burst into flame as they came toppling down.",rk,4,924,all
28814,3,Beregond of the Guard,"Beregond, if you can, do something to stop any dreadful thing from happening.
"," but, beregond, if you can, do something to stop any dreadful thing happening.",rk,4,1172,all
28833,15,Rampaging War Mammoth,"The Mûmakil of Harad were great beasts, like moving houses, capable of dragging huge towers and engines to war."," there came great beasts, like moving houses in the red and fitful light, the mymakil of the harad dragging through the lanes amid the fires huge towers and engines.",rk,4,1199,all
28854,144,Hostage Taker,Umbar was a refuge for all the enemies of Gondor, for a moment all was still.,rk,4,1236,all
29193,28,Forth Eorlingas!,"A sword-day, a red day, ere the sun rises! Ride now, ride now! Ride to Gondor!"," spear shall be shaken, shield be splintered, a sword-day, a red day, ere the sun rises!",rk,5,447,all
29337,39,Sword of the Animist,"My heart rejoices; for you, Estel, shall be among the great whose valor will destroy the Shadow.
", great heart will not be denied.,rk,6,208,all
29486,85,Opt,"They looked east to the Shadow and west to the Twilight, and they plighted their troth and were glad."," and so at length jomer and aragorn met in the midst of the battle, and they leaned on their swords and looked on one another and were glad.",rk,6,492,all
29527,71,Palace Jailer,"Is it not a law in the City that those who wear the black and silver must stay in the Citadel?
"," is it not a law in the city that those who wear the black and silver must stay in the citadel, unless their lord gives them leave?",rk,7,17,all
29601,65,Dearly Departed,"The houses of the dead are no places for the living.
", the houses of the dead are no places for the living.,rk,7,122,all
29657,9,"Denethor, Stone Seer","You may triumph on the field, for a day. But against the Power that now arises there is no victory.", but against the power that now arises there is no victory.,rk,7,199,all
29849,92,Languish,"It seemed to the tenders of the sick that on the Halfling and on the Lady of Rohan this malady lay heavily. Soon they began to fall down into the darkness, and as the sun turned west, a grey shadow crept over their faces."," but soon they began to fall down into the darkness, and as the sun turned west a grey shadow crept over their faces.",rk,8,127,all
30326,193,Port Town,"There at Pelargir lay the main fleet of Umbar, fifty great ships and smaller vessels beyond count."," there at pelargir lay the main fleet of umbar, fifty great ships and smaller vessels beyond count.",rk,9,220,all
30477,49,Karakas,"I stand in the place of the Steward of Gondor, and it is mine to think first of its people. Gondor must be protected.
"," yet for a while i stand in the place of the steward of gondor, and it is mine to think first of its people.",rk,9,485,all
30769,4,Champions of Minas Tirith,The Realm of Sauron is ended forever!," this is my tale, and it is ended now.",rk,10,524,all
30865,69,Fumigate,"The one small garden of a free gardener was all Sam’s need and due, not a garden swollen to a realm; his own hands to use, not the hands of others to command."," the one small garden of a free gardener was all his need and due, not a garden swollen to a realm; his own hands to use, not the hands of others to command.",rk,11,226,all
31086,116,Treasure Nabber,"To his dismay, he could not both fight and keep hold of his treasure.", and shagrat could not both fight and keep hold of his treasure.,rk,11,532,all
32524,173,Crumbling Necropolis,"As Frodo put on the Ring and claimed it for his own, the Power in Barad-dûr was shaken, and the Tower trembled from its foundations to its proud and bitter crown."," and far away, as frodo put on the ring and claimed it for his own, even in sammath naur the very heart of his realm, the power in barad-dyr was shaken, and the tower trembled from its foundations to its proud and bitter crown.",rk,13,689,all
32543,91,Go for the Throat,"Precious, precious, precious!"," precious, precious, precious!",rk,13,728,all
32551,141,Anguished Unmaking,"There was a roar and a great confusion of noise. Fires leaped up and licked the roof. The throbbing grew to a great tumult, and the Mountain shook."," the throbbing grew to a great tumult, and the mountain shook.",rk,13,736,all
32601,113,Shared Animosity,"Out from the beleaguered hills, knights of Gondor, Riders of Rohan, and Dúnedain of the North drove against their wavering foes, piercing the press with the thrust of bitter spears."," out from the beleaguered hills knights of gondor, riders of rohan, d®nedain of the north, close-serried companies, drove against their wavering foes, piercing the press with the thrust of bitter spears.",rk,14,50,all
32607,206,Terramorphic Expanse,"The earth groaned and quaked. The Towers of the Teeth swayed, tottered, and fell down. The mighty rampart crumbled and the Black Gate was hurled in ruin.", the earth groaned and quaked.,rk,14,58,all
32608,104,Earthquake,"From far away, now dim, now growing, now mounting to the clouds, there came a drumming rumble, a roar, a long echoing roll of ruinous noise."," the towers of the teeth swayed, tottered, and fell down; the mighty rampart crumbled; the black gate was hurled in ruin; and from far away, now dim, now growing, now mounting to the clouds, there came a drumming rumble, a roar, a long echoing roll of ruinous noise.",rk,14,64,all
32613,148,Supreme Verdict,"There rose a huge shape of shadow, impenetrable, lightning-crowned, filling all the sky. Enormous it reared above the world, terrible but impotent: for even as it leaned over them, a great wind took it, and it was all blown away."," enormous it reared above the world, and stretched out towards them a vast threatening hand, terrible but impotent: for even as it leaned over them, a great wind took it, and it was all blown away, and passed; and then a hush fell.",rk,14,73,all
32615,200,Shineshadow Snarl,Behold! The power of Mordor was scattering like dust in the wind., their enemies were flying and the power of mordor was scattering like dust in the wind.,rk,14,77,all
32897,68,Frontline Medic,The world is full enough of hurts and mischances without wars to multiply them., though we should still have enough to do without them: the world is full enough of hurts and mischances without wars to multiply them.,rk,15,39,all
33044,184,Furycalm Snarl,"The Shadow departed, and the Sun was unveiled, and light leaped forth."," and the shadow departed, and the sun was unveiled, and light leaped forth; and the waters of anduin shone like silver, and in all the houses of the city men sang for the joy that welled up in their hearts from what source they could not tell.",rk,15,280,all
33131,26,"Faramir, Steward of Gondor",The last Steward of Gondor begs leave to surrender his office.," faramir met aragorn in the midst of those there assembled, and he knelt, and said:the last steward of gondor begs leave to surrender his office.",rk,15,490,all
33148,1,"Aragorn, King of Gondor","In this place will I abide, and my heirs, unto the ending of the world."," in this place will i abide, and my heirs, unto the ending of the world.",rk,15,539,all
33203,194,Prairie Stream,"Aragorn saw the River like a ribbon laid down to Pelargir, and beyond that was a light on the sky that spoke of the Sea. And Gandalf said: This is your realm, and the heart of the greater realm that shall be."," and gandalf said: this is your realm, and the heart of the greater realm that shall be.",rk,15,714,all
33308,75,Weathered Wayfarer,"The Forest of Drúadan was granted to Ghân-buri-Ghân and his folk, to be their own forever."," the forest of dr®adan he gives to ghvn-buri-ghvn and to his folk, to be their own for ever; and hereafter let no man enter it without their leave!",rk,16,122,all
33317,64,Dawn of Hope,"Hope he rekindled, and in hope ended; over death, over dread, over doom lifted out of loss, out of life, unto long glory.
"," hope he rekindled, and in hope ended; over death, over dread, over doom lifted out of loss, out of life, unto long glory.",rk,16,157,all
33318,191,Necroblossom Snarl,"Merry stood at the foot of the green mound, and he wept."," but merry stood at the foot of the green mound, and he wept, and when the song was ended he arose and cried: thjoden king, thjoden king!",rk,16,162,all
33331,157,Talisman of Conviction,Faramir and Éowyn stood forth and set hand in hand; and all there drank to them and were glad., and faramir and jowyn stood forth and set hand in hand; and all there drank to them and were glad.,rk,16,204,all
33332,158,Talisman of Progress,"Thus is the friendship of the Mark and of Gondor bound with a new bond, and the more do I rejoice.
"," thus, said jomer,is the friendship of the mark and of gondor bound with a new bond, and the more do i rejoice.",rk,16,205,all
33488,35,Cloudstone Curio,"Aragorn took the green stone and held it up, and there came a green fire from his hand."," then aragorn took the green stone and held it up, and there came a green fire from his hand.",rk,16,476,all
33679,54,Pillar of the Paruns,"The Road goes ever on and on,
Down from the door where it began.
Now far ahead the Road has gone,
And I must follow, if I can.
", the road goes ever on and on out from the door where it began.,rk,16,767,all
33681,47,Homeward Path,"Let others a journey new begin,
But I at last with weary feet
Will turn towards the lighted inn,
My evening-rest and sleep to meet.
"," let them a journey new begin, but i at last with weary feet will turn towards the lighted inn, my evening-rest and sleep to meet.",rk,16,778,all
33729,199,Scoured Barrens,At length they came to Weathertop; and it was then drawing towards evening and the shadow of the hill lay dark on the road., at length they came to weathertop; and it was then drawing towards evening and the shadow of the hill lay dark on the road.,rk,17,33,all
34031,182,Fortified Village,"At either end of the Bridge there was a great spiked gate, very gloomy and un-Shirelike."," at either end of the bridge there was a great spiked gate; and on the further side of the river they could see that some new houses had been built: two-storeyed with narrow straight- sided windows, bare and dimly lit, all very gloomy and un-shirelike.",rk,18,9,all
34237,189,Isolated Chapel,"The Shirrif-house had only one story, narrow windows, and was built of ugly pale bricks, badly laid."," it had only one storey, but it had the same narrow windows, and it was built of ugly pale bricks, badly laid.",rk,18,295,all
34274,162,Well of Lost Dreams,"This was Frodo and Sam’s own country, and they found out now that they cared about it more than any other place in the world."," this was frodo and sams own country, and they found out now that they cared about it more than any other place in the world.",rk,18,349,all
34277,166,Ash Barrens,"The pleasant row of old Hobbit-holes in the bank on the north side of the Pool were deserted, and their little gardens that used to run down bright to the water’s edge were rank with weeds."," the pleasant row of old hobbit-holes in the bank on the north side of the pool were deserted, and their little gardens that used to run down bright to the waters edge were rank with weeds.",rk,18,355,all
34314,146,Notion Thief,"That’s your tone, is it? Change it, or we’ll change it for you. You little folk are getting too uppish.", you little folk are getting too uppish.,rk,18,401,all
34369,63,Call for Unity,"Go! If you trouble us again, you will regret it.
"," if you trouble this village again, you will regret it.",rk,18,456,all
34478,27,Farmer Cotton,So it’s begun at last! I’ve been itching for trouble all this year.," ive been itching for trouble all this year, but folks wouldnt help.",rk,18,566,all
34583,165,Access Tunnel,"See you soon! I’ll bring you back an army of Tooks in the morning.
", ill bring you back an army of tooks in the morning.,rk,18,688,all
34843,99,Toxic Deluge,"Even Sam’s vision in the Mirror had not prepared him. The Old Grange on the west side had been knocked down, and its place taken by rows of tarred sheds. All the chestnuts were gone. The banks and hedgerows were broken."," the old grange on the west side had been knocked down, and its place taken by rows of tarred sheds.",rk,18,1066,all
34898,11,Subjugate the Hobbits,"This is worse than Mordor! Much worse, in a way. It comes home to you, as they say, because it is a home, and you remember it before it was all ruined.
"," it comes home to you, as they say; because it is home, and you remember it before it was all ruined.",rk,18,1132,all
35054,110,Humble Defector,"The few survivors were rounded up in the woods, and those who surrendered were shown to the borders."," before the years end the few survivors were rounded up in the woods, and those that surrendered were shown to the borders.",rk,19,46,all
35089,137,Seeds of Renewal,"Sam planted the little silver nut in the Party Field where the tree had once been, and he wondered what would come of it.", the little silver nut he planted in the party field where the tree had once been; and he wondered what would come of it.,rk,19,122,all
35091,135,Rampant Growth,All through the winter Sam remained as patient as he could. Spring surpassed his wildest hopes., spring surpassed his wildest hopes.,rk,19,126,all
